author,comment
@KaniaWidiastuti-c4b,"Alhamdulillah, ketemu ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴! Hiburan yang nggak cuma seru, tapi juga bikin refleksi. Hadiahnya bikin semangat! 🙏"
@PuspitaZulfa-e2l,"Masyaallah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin takjub! Visualnya ciamik, ceritanya penuh makna, dan hadiahnya bikin jantungan! ✨"
@IchaHariyah-x6s,"Alhamdulillah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin hiburan jadi lebih bermakna! Ceritanya relate, hadiahnya wow! 🙏"
@cingarong,kok cuma ibnu yang diundang? rispo sama rigen gaada
@boboysurya5210,"GJLS 2 , angkat cerita Rigen yg gak betah di rumah karna banyak yg numpang aja Hip...."
@steveadam1958,"jujur menurut gua film gjls adalah film yang paling banyak gua ketawa saat nonton, sampe rahang gua sakit pas udah selesai nonton😂😂<br>favorite scene pas ebel sama pas umay di rs sih😭"
@dennychandra3559,Hismi dan hifkri satu frame mantep gjls dunia
@dennychandra3559,Hismi dan hifkri satu frame mantep gjls dunia
@dennychandra3559,Hismi dan hifkri satu frame mantep gjls dunia
@forgot7onlyeah,"<a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=2465"">41:05</a> bener bangeet dulu Jogja tuh banyak banget komunitas-komunitas receeh, seruu!! sedih sih sekarang sudah berkurang...."
@daivasuharto2736,lucu terus mas hismi😅😂
@catitukucing9452,main di pohom sekarang nih hip!
@auvabima1751,"<a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=570"">9:30</a> pohom sudah nyampe podcast radit hipp kaguuum"
@MentariKristi-tn5qh,Radit sayang hifdzi
@FaizalRahadi,weeeh mamon juki temen gua di nft!!!
@ariadinata7036,tok
@dikazxcv3559,"Kesalahan GJLS trailer nya yg kureng parahh, kaya udah ngerangkum semua isi cerita film nya,, agak lain bisa sukses karena trailer nya itu lucu bangett bikin orang penasaran mau nonton, dan full isi film nya juga kocak, <br>Sedangkan GJLS emang bener-bener kurang, dan ga lucu menurut gua, masih pada belom Cocok jadi pemeran Utama, kalo jadi cameo&quot; Mungkin lucu"
@wintangwinisuda,POHOMM hipp
@alphonsoarnett,"Semalem ada yang ngetag gue di story, terus tulisannya cuma “❝PULAUWIN❞” doang. Maksudnya apaaa??"
@diondavenport-g9m,"Komentar netizen di IG, isinya pada bahas P͙U͙L͙A͙U͙W͙I͙N͙."
@miguelbradford-x7p,"Yang bikin makin penasaran, video reels bertema 🅿️︎🆄🅻🅰️︎🆄🆆︎🅸︎🅽︎ malah makin banyak."
@elijahbarkley-j4m1f,Kenapa sih nama 🅿️🆄🅻🅰️🆄🆆🅸🅽 bisa muncul di banyak konten lucu?
@octaviomckinney-m6d,"Gue buka Pinterest, ada tulisan ❝PULAUWIN❞ di desain moodboard... aesthetic sih, tapi apaan coba?"
@wiltongooch,"Bahkan di lagu remix, ada sound effect P҉U҉L҉A҉U҉W҉I҉N҉ nyelip lucu."
@claysantos-r7l,"Tiap buka IG explore pasti ada yang komen “P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟ itu apa sih, kok sering banget muncul?”"
@rogerchristie-z8y,Ngobrol sama stranger di kereta pun bisa nyambung gara-gara P͓̽U͓̽L͓̽A͓̽U͓̽W͓̽I͓̽N͓̽.
@archiemullen-p4c,Kalender meja teman kantor ada logo ❝PULAUWIN❞ kecil di sudutnya.
@brainplace-y3g,Lo percaya gak kalau temen gue udah nyari 🅿️🅤🅛🅐🅤🅦🅘🅝 di Shopee? Dia pikir itu barang jualan!
@harryaceves,Lo percaya gak kalau temen gue udah nyari 🅿️🅤🅛🅐🅤🅦🅘🅝 di Shopee? Dia pikir itu barang jualan!
@joaquinsantamaria-y7l,"Tiap buka IG explore pasti ada yang komen “P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟ itu apa sih, kok sering banget muncul?”"
@kimcurry-u8e,"Gue awalnya kira 𝓟͙U͙L͙A͙U͙W͙I͙N͙ itu nama kucing, ternyata makin lama makin gak masuk akal."
@michalfoltz,"Tiap buka IG explore pasti ada yang komen “P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟ itu apa sih, kok sering banget muncul?”"
@chancemcgovern,"Pas nonton vlog, tiba-tiba host-nya bilang tentang P҉U҉L҉A҉U҉W҉I҉N҉."
@adesae7729,Pohom lagi HIP!!!
@jarodhough,Lo percaya gak kalau temen gue udah nyari 🅿️🅤🅛🅐🅤🅦🅘🅝 di Shopee? Dia pikir itu barang jualan!
@johnathanearley,"Pagi-pagi buka laptop, wallpaper teman ada logo 🅿️🆄🅻🅰️🆄🆆🅸🅽."
@KathrynHarris-v3b,peminat terbanyakＧＡ Ｒ Ｕ ＤＡ ＨＯ ＫＩdi Indonesia
@modaldengkul7764,"bro Radit seperti sedang meneliti untuk project film baru,"
@richardgrantham-i9v,Di komen IG sampe ada yang reply “lu juga gak ngerti 🅿️🆄🅻🅰️🆄🆆🅸🅽 kan? gw kira cuma gw doang.”
@jeramyvinson,Orang-orang ngetweet “gue doang yang gak ngerti P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟?” dan gue pun merasa relate.
@gerancayanstunt3003,Lu punya grup baru ga ngabarin rigen ama rispo hip?
@ardabelyu90,Rigen ama Rispo juga ga ngajakin gabung bedain sih
@irvingchavis,Lo percaya gak kalau temen gue udah nyari 🅿️🅤🅛🅐🅤🅦🅘🅝 di Shopee? Dia pikir itu barang jualan!
@miguelbradford-x7p,"Di belakang mobil travel, ada stiker besar bertuliskan P͓̽U͓̽L͓̽A͓̽U͓̽W͓̽I͓̽N͓̽."
@sylvesterjolley,Desain grafis di kampus banyak yang pakai font ✧𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉✧ sebagai contoh.
@montepark-c2t,"Setiap buka Twitter, trending topic-nya gak jauh-jauh dari 🅿️︎🆄🅻︎🅰️︎🆄︎🆆︎🅸︎🅽︎."
@hamdisukma9795,spill smartwatch nya dong bg rezaa 😁
@harveyhartman-w9m,Kalender meja teman kantor ada logo ❝PULAUWIN❞ kecil di sudutnya.
@rolandcornwell,"Gue awalnya kira 𝓟͙U͙L͙A͙U͙W͙I͙N͙ itu nama kucing, ternyata makin lama makin gak masuk akal."
@Brownyipi,penulisnya ganteng amat
@deonquintana-d1d,"Pagi-pagi buka laptop, wallpaper teman ada logo 🅿️🆄🅻🅰️🆄🆆🅸🅽."
@DaneswaraPratama-l7s,"Keren banget ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴! Nggak cuma soal menang, tapi pengalaman yang nyentuh hati. Visualnya top! 💖"
@ErinaAnanta-c2o,"Gila, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin nagih! Ceritanya dalam, visualnya kece, dan kemenangannya bikin kaget. Wajib coba! 🔥"
@ayugunawan-z4u,"<a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=181"">03:01</a> Masyaallah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin pengalaman main beda! Visualnya top, ceritanya penuh makna, dan hadiahnya wow banget! 💎"
@sudisamsin-v4x,"❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin hari lebih seru! Ceritanya relate banget, hadiahnya bikin semangat main terus! 🚀"
@mutiara-s3n,"<a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=431"">07:11</a> Subhanallah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin pengalaman main jadi beda! Ceritanya inspiratif, hadiahnya bikin happy! 🙌"
@maximopickard,Loe pernah ngerasa kayak jadi orang terakhir yang gak tau soal ✧𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉✧? Gue banget itu.
@parmi-d4p,"<a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=76"">01:16</a> Masyaallah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 menghadirkan pengalaman yang beda! Visualnya ciamik, ceritanya inspiratif, dan kemenangannya bikin jantungan. Hiburan yang nggak cuma seru, tapi juga bermakna. Harus coba! 🙌"
@niahayuning-n2h,"Gak nyangka ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 se-epic ini! Ceritanya bikin mikir, visualnya kece, dan hadiahnya bikin kaget! 💪"
@nirwa-v4w,"Keren abis ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴! Gameplay-nya mulus, ceritanya bikin mikir, dan hadiahnya bikin jantungan! ❤️"
@Rahmawan-h1k,"Keren abis ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴! Ceritanya bikin penasaran, gameplay-nya super smooth, dan hadiahnya bikin happy! ❤️"
@Faiq-s6d,"<a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=171"">02:51</a> Sumpah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 luar biasa! Visualnya kece, ceritanya mengalir, dan kemenangannya bikin jantungan. Pengalaman yang wajib dirasain! 🚀"
@Infogacorr-wahana88,"Setelah film, chemistry mereka tetep dapet banget 🔥"
@PusatJoin-WAHANA88,"Salut! Nggak cuma lucu di film, di luar film juga gasspol humornya"
@setelankosong,Konten lagi? 🤔
@KOMENTUH_GINI,FILM MERAH PUTIH One For ALL ADALAH ULAH ELITE GLOBAL YANG MERUPAKAN INVESTOR DARI FILM @gjlsentertainment GJLS IBUKU IBU-IBU YANG GAGAL NYAMPE DI 800RB GUA UDAH CURIGA INI KERJAAN RISPO @anantarispo DEH MARKETING S3 EMANG BUAT BALIKIN MODAL
@pasti-hoki-Wahana88,"Ayo dong rilisnya, biar kita semua bisa ngakak bareng di bioskop! 🚀😂"
@Infogacorr-wahana88,"Bener-bener pecah, vibes filmnya kebawa terus! 🎬"
@pasti-WD-Wahana88,"Nonton trailernya aja udah berasa terapi ketawa, apalagi film fullnya! Cepetan tayang woii 😆"
@Pasti-jacpot-Wahana88,"Ya ampun, teaser aja udah bikin perut kram… rilisnya buruan dong 😭🍿"
@Pasti-Gacor-Wahana88,Kapan nih rilisnya? Udah gatel pengen ketawa ngakak liat GJLS di layar lebar! 🤣🔥
@winner_WAHANA88,Wkwkwk ngakak dari awal sampai akhir! GJLS emang nggak ada obat 😂
@MAXWIN-TERBESAR-AFABOLA,"Setelah film GJLS, akhirnya muncul lagi! Kangen banget sama kelakuan absurd mereka 🤣🔥 Gas terus bang"
@mitchkyle-z3t,"Semalem ada yang ngetag gue di story, terus tulisannya cuma “❝PULAUWIN❞” doang. Maksudnya apaaa??"
@easthattrick4680,Suisei itu bang yang nulis
@reynaldocallahan,Lo percaya gak kalau temen gue udah nyari 🅿️🅤🅛🅐🅤🅦🅘🅝 di Shopee? Dia pikir itu barang jualan!
@THEBARBAR12,Ketawa siapa yg ngik2 😅
@muhammadfadli9698,Terlalu pagii hipp!
@lasthopeQ,berisik lu hippp
@taovictopik6485,"Sejak disini , ga akan ada yang WA radit pagi pagi… takut skip…kwkwkw"
@viviharyadi7376,"<a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=570"">9:30</a> beneran GJLS"
@widiaarlita-y2h,"Wow, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bener-bener beda! Visualnya memukau, ceritanya mengalir, dan untungnya bikin hati melayang! 👑"
@luvia-z2x,"Gila, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin nagih abis! Ceritanya dalam, visualnya memanjakan mata, dan kemenangannya bikin kaget. Wajib dicoba semua! 🔥"
@Latif-q6z,"Gak sabar share ke temen soal ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴! Ceritanya bikin penasaran, kemenangannya bikin happy! ❤️"
@madesantika-x1p,"Gila, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin nagih abis! Ceritanya dalam, visualnya ciamik, dan kemenangannya bikin kaget! 🔥"
@rara-h5q1i,"Subhanallah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 menghadirkan pengalaman gaming yang luar biasa! Narasinya inspiratif, gameplay-nya mulus, dan kemenangannya bikin jantungan. Rekomendasi banget! 🚀"
@NoviliaPutri-f4e,"Alhamdulillah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin hiburan jadi lebih bermakna! Ceritanya relate, hadiahnya bikin dompet happy! 🙏"
@alexandraamadea-h8q,"<a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=87"">01:27</a> Gak nyangka ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 se-epic ini! Modal kecil, tapi untungnya gede. Ceritanya bikin refleksi, dan visualnya bikin mata terpana. Sukses terus buat timnya! 💪"
@nyomanyunita-q7r,"Alhamdulillah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin hiburan jadi lebih bermakna! Ceritanya relate, hadiahnya bikin dompet happy! 🙏"
@riha-o2f,"Alhamdulillah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin hiburan jadi lebih bermakna! Modal kecil, untung gede! 🙏"
@AgungHermanta-g3t,"<a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=257"">04:17</a> Keren banget ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴! Nggak cuma soal menang, tapi pengalaman yang nyentuh hati. Visualnya memukau! ❤️"
@vaniaalberti-v4v,"<a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=431"">07:11</a> Subhanallah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin pengalaman main jadi beda! Ceritanya inspiratif, hadiahnya bikin happy! 🙌"
@kiarasantena-g1z,"❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 emang next level! Nggak cuma soal menang, tapi pengalaman yang nyentuh hati. Ceritanya inspiratif abis! 💖"
@divaarzinta-r5e,"❤M𝐎𝐍𝐀𝟒𝐃🔴, terima kasih buat pengalaman seru! Ceritanya bikin mikir, visualnya keren, dan hadiahnya top! 💎"
@rendylutfiprabowo3623,memang naluri pelawak cilik ini luar biasa
@satryokun8887,terlalu pohom mas awal2nya
@rezatamaar,"<a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=207"">3:27</a> Salah banget gw nonton sambil makan 😢"
@ardabelyu90,Sama lagi
@javamaukar,BAPAKKU BAPAK BAPAK
@javamaukar,MENUNGGU GJLS 2
@shinduraflie1732,lucu terus lu po po
@ashqi5381,udah 5 kali nih hipp
@zaenalteguhihsanawaludin8938,Jadi kangen perang makanan
@rikusboyfriend5484,Pohom mas
@anzorizer946,kapan mancing po?
@UrGravity8,Udah termasuk lelaki manis si hismi!
@BambangGunawan-s6w,Bang Radit.. Kalo ada Hifdzi.. Seru asiik. Ngobrolnya.. Salam succes semuanya.
@Kekinian-AFABOLA,"hadir , lg tunggu&quot; bnget nig"
@g.m.r.suryadiredja,Baru mulai udah main di Hipli nih mas Radit
@Mirekix,mas hsmi selalu der dar der dsdar beredar enak bgt
@aklilhikam4027,Biru lu hip
@bernardharianja1988,"Bang Radit plis undang Monita Tahalea dong, bahas album barunya, judul album barunya Merona"
@anandazufars8005,hrusnya 5 jam ini bang hismi
@RioHusnadyHidayat,MAS HISMI LUCU BANGET
@DekillFX,"<a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=2407"">40:07</a> Dulu akhir pekan sering bgt kesini, harga bukunya lebih murah jauh dari gram*d. Beli komik/novel kesini, karena deket jg sama kost2an..."
@bocilbijaksana,selalu happy kalo ada hishfzi 😅
@isnan_D,"Kagummm, jam 10 udah podkes, jam 1 menggulinkan rezim HIPPP"
@alharomain_,main diempedu mas??
@AFITHK,Djendelo cafe yg dimaksud mas hismi
@Mar1J01N_WAHANA88,"Film ini bikin aku ingin nonton ulang, banyak detail kecil yang baru keliatan di second viewing."
@wahana88-menang-selalu,"Chemistry antar pemeran utama terasa nyata, bikin penonton terbawa emosi."
@CuKuPL1NK_WAHANA88,"Nggak cuma hiburan, film ini juga ada pesan sosial yang kuat."
@PortalPeluangCuan-WAHANA88,"Adegan slow-motion di klimaks itu epic banget, bikin merinding."
@LinkPeluangcuan_WAHANA88,"Endingnya ambigu, bikin penasaran sekuel atau interpretasi penonton sendiri."
@Y4nGTerBa1k_WAHANA88,"Dialognya terasa natural, nggak terkesan dibuat-buat."
@cuanbesar_WAHANA88,"Beberapa adegan lucu tapi nggak berlebihan, pas banget dengan tone film."
@GaSpollCuaan_WAHANA88,"Soundtrack-nya pas banget, bikin adegan dramatis jadi lebih terasa."
@caricuuuan_WAHANA88,"Cinematography-nya keren, pencahayaan dan framing bikin suasana makin hidup."
@Tren_g00gle-WAHANA88,"Karakter utama benar-benar berkembang, acting-nya juara."
@yanglagipopuler_WAHANA88,"Wah, plot twist di akhir bikin mikir lagi deh, nggak nyangka sama sekali!"
@M4NT4P-AFABOLA,awali  hari dgn dgrin podcast ini
@duniameow7,Selama nonton GJLS bingung sebingung bingungnya
@FidiRaiddin,GJLS jadi duo skrng gen!
@ardabelyu90,Haishhh.<br>Trio berdua mas
@Fauzanbn,"<a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=567"">09:27</a>"
@iismailo-4vr,POHOM GEN
@rizzzlizzz,Gila hip 2 cowo manis outfitnya couple. Ada main nih hip?
@bakharaalief650,"Selain manusia kejujuran juga manusia tanpa Empedu, gokill hippp"
@iismailo-4vr,"pohom lagi pohom lagi hip <a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=568"">9:28</a>"
@adybayu8081,Ngomongin musik bareng VOB bang.
@kasamago,asyik.. pagi2 begini tetap semangat jadinya<br>Waspada Judol !
@bikinasik6006,sama kayak panji petualang empedunya juga diangkat
@Cindynuna,Di kotaku ga tayang GJLS. Nunggu di netflix aja
@ardiyahyasetiyawan2660,terlalu pagi hipp!!!!
@sutaniqraa5905,Semangat GJLS 💪 memang lawannya lagi berat banget waktu itu tiga jumbo vs tom cruise (mission impossible)
@hakamimundziri3743,Gerr lu hip
@ramadhanaputranasution,Kocak terus mas himzi
@tonitoni1618,Nazarnya mana hip😂
@GungZ,Gila lu hip aktor banget
@riskiariansyah4517,hahha
@WahyuM-h8n,sobat empedu tanpa empedu hadir bang hifdzi
@VayozBakekok,lucu terus komedian cilik 🤣
@YejiNuatau,Lebih aneh film MPOFA daripada GJLS
@ryanabyahya8622,Mejanya knp tuh dil 😂
@ijo.,"<a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=570"">9:30</a> Haishhh pohon mass!!!"
@Squidgame2-123,Pagi2 disuruh ketawa
@bayuarzalubis,Pagi x bg
@gratssss,pohom hip!
@luluekaafrilia537,film GJLS seruuu banget makanya aku udh nonton film nya hehe
@miachegen6013,"Ini siapa sih yg ketawanya kaya ayam, lucu banget🤣🤣"
@dohannn5607,itu hismi
@BatozarDom,😂
@SijamHusna,"Kenapa Bang Hizmi mirip Bang Yudha Keling skrng<br><br>Btw Minggur dibahas juga<br><a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=1980"">33:00</a>"
@dohannn5607,undang adi arkiang banggg
@yuukiasuka762,Nah nah 😂 jangan lupa bekali dengan obat migrain
@conanfauzigawa22,Sundul Gan
@IrfanMaulana-dw3dc,"<a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=572"">9:32</a> jadi keikut pohom nih gara2 lu hip!!!"
@dohannn5607,undang dzawin bgg
@KevinWong-b2e,"Segabut ini gue,,pagi2 bgni dgerin obrolan mreka"
@Elpistolero78910,Po gantengan lu po
@jimred3538,"batu empedu atau cholelithiasis, itu asli nyiksa banget, trigger nya kalo makan berlemak atau berminyak, makan sore, sakitnya bisa sampai besok pagi bikin ga bisa tidur. kejadian di gw sama kaya hifdzi, kecil2 mau dioperasi, kirain bakal dibedah doang dibersihin batu2 nya, bangun2 dari anestesi udah diangkat se kantong2 empedunya 😭"
@santosoabimayu,Wah ngeri apa penyebabnya
@jonipx,"Kabohidrat bro masalahnya, selain itu makanan yang di konsumsi berlebihan seperti kabohidrat, gula, ultra proses food"
@santosoabimayu,Spertinya hismi yang literasi kesehatan bagus di gjls malah yang kena. Tapi baru tahu orang bisa  tanpa empedu.
@jonipx,​@@santosoabimayukelebihan berat badan sih keknya
@crazinessnword212,yaolohhh gen gen akhirnya bahas film GJLS
@sayarobbyy,Lahh iya hafiz kurusan
@dewilaksmiadex847,wajib nonton GJLS
@cungukkkkpulen,mancinggg sama risponyaaa mana banggg raditt
@anggifadillah6369,This eks little comedian is always funny🤣🤣🤣
@firaamal7891,kesalahan nya 1 : kebanyakan nazar
@waisalkarni6020,Dari materi filmnya sendiri susah klo 1 jt bang
@glazyblue8405,​@@waisalkarni6020emang komedinya cukup segmented ya buat pengikut gjls
@LiloLoli-sq6ug,Oh ini yg nulis.pantesan gagal filmnya😂
@a_paandah,600rb mah gak gagal
@LiloLoli-sq6ug,​@@a_paandahkan nasarnya 54 jt😂
@ThoriqAlfatan-fs8px,POHOM HIPPPP
@anuxzagarawot3000,iakah
@wimbokurnia855,wah ada hizmi
@kurniawanfreaks,"haissss, di puji cowok manis lu hippp!"
@agungnovan3739,Menunggu di netflix
@irgizidansyah,banyak banget ya komen2 dari akun judol… stopp judol guys !!!
@kurniawanfreaks,penghibur radit ini lu hip!
@luvia-z2x,"Keren banget ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴! Nggak cuma soal menang, tapi pengalaman yang nyentuh hati. Visualnya top! 💖"
@vaniaalberti-v4v,"Subhanallah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin pengalaman main jadi beda! Ceritanya inspiratif, visualnya keren abis! 🙌"
@madesantika-x1p,"<a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=71"">01:11</a> Wow, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin standar baru! Narasinya menarik dengan tema yang penuh makna, gameplay-nya mulus banget, bikin ketagihan. Hadiahnya luar biasa, setiap momen terasa berharga. Rekomendasi banget! 🚀"
@alexandraamadea-h8q,"<a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=61"">01:01</a> Sungguh takjub dengan ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴! Ceritanya begitu menyentuh, memadukan makna mendalam dengan gameplay yang seru. Visualnya memukau, dan hadiahnya? Benar-benar luar biasa. Wajib coba untuk pengalaman tak terlupakan! 🌟"
@AgungHermanta-g3t,"Subhanallah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin pengalaman main jadi beda! Visualnya keren, ceritanya inspiratif, dan untungnya luar biasa! 🙌"
@widiaarlita-y2h,"Subhanallah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin pengalaman main jadi beda! Ceritanya inspiratif, visualnya keren abis! 🙌"
@rara-h5q1i,"<a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=431"">07:11</a> Subhanallah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin pengalaman main jadi beda! Ceritanya inspiratif, hadiahnya bikin happy! 🙌"
@NoviliaPutri-f4e,"Gak sabar share ke temen soal ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴! Ceritanya bikin penasaran, kemenangannya bikin happy, dan visualnya top! ❤️"
@yolanda-r9e,"Wow, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bener-bener beda! Visualnya ciamik, ceritanya mengalir, dan kemenangannya bikin hati berbunga. Harus main sekarang! ❤️"
@nyomanyunita-q7r,"Keren banget ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴! Nggak cuma soal menang, tapi pengalaman yang nyentuh hati. Visualnya top! 💖"
@amirafatiya-g4q,"Alhamdulillah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin hiburan jadi lebih bermakna! Ceritanya relate, hadiahnya bikin dompet senyum! 🙏"
@Indri-z3f,"<a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=260"">04:20</a> ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 emang luar biasa! Visualnya memanjakan mata, ceritanya bikin mikir, dan gameplay-nya super smooth! 🌟"
@riha-o2f,"❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴, kamu emang terbaik! Setiap main bikin ketagihan, ceritanya relate, visualnya top! 💪"
@kiarasantena-g1z,"Subhanallah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin pengalaman main jadi beda! Ceritanya inspiratif, visualnya keren! 🙌"
@storytoly,selalu suka kalau bang radit bareng hismi😂❤ NEXT DITUNGGU MANCING BENERAN BARENG RISPO
@mr.baldi1375,undang agung hapsah bang
@DaneswaraPratama-l7s,"<a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=181"">03:01</a> Masyaallah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin pengalaman main beda! Visualnya top, ceritanya penuh makna, dan hadiahnya wow banget! 💎"
@fuadibontot6012,Judol membuatmu meralat
@sudisamsin-v4x,"<a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=61"">01:01</a> Sungguh takjub dengan ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴! Ceritanya begitu menyentuh, memadukan makna mendalam dengan gameplay yang seru. Visualnya memukau, dan hadiahnya? Benar-benar luar biasa. Wajib coba untuk pengalaman tak terlupakan! 🌟"
@ayugunawan-z4u,"Keren banget ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴! Ceritanya begitu mendalam, bikin hati tersentuh, dan visualnya benar-benar memukau. Hadiahnya juga bikin semangat main terus! Wajib coba, guys! 🌟"
@somebuddy.,Bentar lagi 11 juta bang Radit!
@rachmawatipuput7048,😂😂😂
@ErinaAnanta-c2o,"<a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=178"">02:58</a> ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 gak ada duanya! Baru main sebentar, langsung dapet kejutan gede. Ceritanya inspiratif, visualnya bikin takjub! 🌟"
@Wiya-b4u,"<a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=18"">00:18</a> Keren abis ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴! Visualnya ciamik, gameplay-nya seru, dan hadiahnya bikin dompet senyum lebar. Rekomendasi banget! 😍"
@mutiara-s3n,"Alhamdulillah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin hiburan jadi lebih bermakna! Ceritanya relate, hadiahnya bikin dompet senyum! 🙏"
@niahayuning-n2h,"❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin hari lebih seru! Ceritanya relate banget, gameplay-nya mulus, dan hadiahnya bikin semangat. Rekomendasi buat semua! 🌈"
@nirwa-v4w,"Gila, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin nagih abis! Ceritanya dalam, visualnya memanjakan mata, dan kemenangannya bikin kaget. Wajib dicoba semua! 🔥"
@Rahmawan-h1k,"❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴, apa sih rahasia kamu bikin ketagihan? Ceritanya penuh inspirasi, gameplay-nya seru, dan hadiahnya bikin takjub! 💎"
@Faiq-s6d,"<a href=""https://www.youtube.com/watch?v=REvlWJ7lo4M&amp;t=104"">01:44</a> Keren abis ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴! Gameplay-nya dikemas apik, visualnya memanjakan mata, dan hadiahnya bikin dompet tersenyum lebar. Pengalaman yang nggak boleh dilewatkan! 😍"
@rahmanozora8793,Pagi banget yee
@sayyidhsn,waw pagi yang sangat produktif
@pikaru_byme,first
